I_ST_Contact_Transition_Rule__c,Name,I_ST_Criterion_Object__c,I_ST_Criterion_Field__c,I_ST_Criterion_Operator__c,I_ST_Criterion_Value_Type__c,I_ST_Criterion_Value__c
1,1,Contact,I_RS_Deceased__c,=,Static,TRUE
1,2,Contact,I_RS_HDR_Student__c,=,Static,TRUE
1,3,Contact,I_ST_International_Student__c,=,Static,TRUE
1,4,Contact,I_ST_Sanctioned_Student__c,=,Static,TRUE
1,5,Contact,I_ST_Contact_Stage__c,!=,Static,Inactive
2,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,ADM
2,2,I_ST_Student_Course__c,I_ST_Enrolled_Credit_Points__c,IS NOT BLANK,Static,TRUE
2,3,I_ST_Student_Course__c,I_ST_Enrolled_Credit_Points__c,>=,Static,5
2,4,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
2,5,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
2,6,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
2,7,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
2,8,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
2,9,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
3,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,IN,Static,POTC;CONDC
3,2,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
3,3,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
3,4,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
3,5,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
3,6,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
3,7,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
4,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,LOA
4,2,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
4,3,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
4,4,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
4,5,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
4,6,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
4,7,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
5,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,ADM
5,2,I_ST_Student_Course__c,I_ST_Enrolled_Credit_Points__c,IS BLANK,Static,TRUE
5,3,I_ST_Student_Course__c,I_ST_Enrolled_Credit_Points__c,<,Static,5
5,4,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
5,5,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
5,6,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
5,7,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
5,8,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
5,9,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
6,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,OFF
6,2,I_ST_Student_Course__c,I_ST_OfferStatus__c,=,Static,"Admitted
Accepted"
6,3,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
6,4,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
6,5,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
6,6,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
6,7,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
6,8,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
7,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,OFF
7,2,I_ST_Student_Course__c,I_ST_OfferStatus__c,=,Static,Offered
7,3,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
7,4,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
7,5,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
7,6,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
7,7,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
7,8,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
8,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,OFF
8,2,I_ST_Student_Course__c,I_ST_OfferStatus__c,=,Static,Deferred
8,3,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
8,4,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
8,5,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
8,6,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
8,7,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
8,8,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
9,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,OFF
9,2,I_ST_Student_Course__c,I_ST_OfferStatus__c,=,Static,Lapsed
9,3,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
9,4,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
9,5,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
9,6,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
9,7,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
9,8,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
10,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,OFF
10,2,I_ST_Student_Course__c,I_ST_OfferStatus__c,IN,Static,Declined;Unoffered;Rescinded
10,3,I_ST_Student_Course__c,I_ST_Course_Admission_Stage_Code__c,IN,Static,WD;TERM
10,4,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,IN,Static,AWOL;Other
10,5,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
10,6,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
10,7,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
10,8,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
10,9,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
10,10,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
11,1,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,=,Static,PASS
11,2,Contact,I_ST_LatestApplicationStatusChangeDate__c,IS BLANK,Static,TRUE
11,3,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_LatestApplicationStatusChangeDate__c
11,4,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
11,5,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Latest_Case_Created_Date__c
11,6,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
11,7,I_ST_Student_Course__c,I_ST_Selected_Course_Run_Date__c,>=,Reference,I_ST_Student__r.I_ST_Became_Inactive_On__c
12,1,I_ST_Application__c,I_ST_Application_Status__c,=,Static,Offered
12,2,Contact,I_ST_LatestSelectedCourseRunDate__c,IS BLANK,Static,TRUE
12,3,I_ST_Application__c,I_ST_Status_Change_Date__c,>,Reference,I_ST_Contact__r.I_ST_LatestSelectedCourseRunDate__c
12,4,Contact,I_ST_Latest_Case_Created_Date__c,IS BLANK,Static,TRUE
12,5,I_ST_Application__c,I_ST_Status_Change_Date__c,>=,Reference,I_ST_Contact__r.I_ST_Latest_Case_Created_Date__c
12,6,Contact,I_ST_Became_Inactive_On__c,IS BLANK,Static,TRUE
12,7,I_ST_Application__c,I_ST_Status_Change_Date__c,>=,Reference,I_ST_Contact__r.I_ST_Became_Inactive_On__c
