Id,Name,I_ST_Trigger_Object__c,I_ST_Trigger_Fields__c,I_ST_Active__c,I_ST_Criteria_Logic__c
1,1,Contact,I_RS_Deceased__c;I_RS_HDR_Student__c;I_ST_International_Student__c;I_ST_Sanctioned_Student__c,TRUE,(1 OR 2 OR 3 OR 4) AND 5
2,2,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c;I_ST_Enrolled_Credit_Points__c,TRUE,1 AND 2 AND 3 AND (4 OR 5) AND (6 OR 7) AND (8 OR 9)
3,3,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
4,4,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
5,5,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c;I_ST_Enrolled_Credit_Points__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7) AND (8 OR 9)
6,6,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c;I_ST_OfferStatus__c,TRUE,1 AND 2 AND (3 OR 4) AND (5 OR 6) AND (7 OR 8)
7,7,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c;I_ST_OfferStatus__c,TRUE,1 AND 2 AND (3 OR 4) AND (5 OR 6) AND (7 OR 8)
8,8,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c;I_ST_OfferStatus__c,TRUE,1 AND 2 AND (3 OR 4) AND (5 OR 6) AND (7 OR 8)
9,9,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c;I_ST_OfferStatus__c,TRUE,1 AND 2 AND (3 OR 4) AND (5 OR 6) AND (7 OR 8)
10,10,I_ST_Student_Course__c,I_ST_Course_Admission_Stage_Code__c;I_ST_Course_Admission_Status_Code__c;I_ST_OfferStatus__c,TRUE,((1 AND 2) OR 3 OR 4) AND (5 OR 6) AND (7 OR 8) AND (9 OR 10)
11,11,I_ST_Student_Course__c,I_ST_Course_Admission_Status_Code__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
12,12,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
13,13,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
14,14,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
15,15,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
16,16,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
17,17,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
18,18,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
19,19,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
20,20,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
21,21,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
22,22,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
23,23,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
24,24,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
25,25,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
26,26,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
27,27,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
28,28,I_ST_Application__c,I_ST_Application_Status__c,TRUE,1 AND (2 OR 3) AND (4 OR 5) AND (6 OR 7)
